date,close,high,low,open
2020-05-04 19:50:00+00:00,4.29,4.345,4.29,4.325
2020-05-04 20:00:00+00:00,4.29,4.29,4.29,4.29
2020-05-05 13:30:00+00:00,4.445,4.665,4.43,4.665
2020-05-05 13:40:00+00:00,4.495,4.505,4.405,4.45
2020-05-05 13:50:00+00:00,4.48,4.515,4.425,4.495
2020-05-05 14:00:00+00:00,4.425,4.48,4.405,4.48
2020-05-05 14:10:00+00:00,4.405,4.425,4.385,4.425
2020-05-05 14:20:00+00:00,4.355,4.405,4.355,4.405
2020-05-05 14:30:00+00:00,4.355,4.365,4.355,4.355
2020-05-05 14:40:00+00:00,4.305,4.355,4.305,4.355
2020-05-05 14:50:00+00:00,4.25,4.305,4.25,4.305
2020-05-05 15:00:00+00:00,4.235,4.255,4.235,4.25
2020-05-05 15:10:00+00:00,4.205,4.235,4.2,4.235
2020-05-05 15:20:00+00:00,4.175,4.185,4.125,4.185
2020-05-05 15:30:00+00:00,4.215,4.215,4.165,4.175
2020-05-05 15:40:00+00:00,4.2,4.235,4.2,4.215
2020-05-05 15:50:00+00:00,4.205,4.205,4.2,4.2
2020-05-05 16:00:00+00:00,4.19,4.205,4.155,4.205
2020-05-05 16:10:00+00:00,4.185,4.2,4.165,4.19
2020-05-05 16:20:00+00:00,4.165,4.185,4.155,4.185
2020-05-05 16:30:00+00:00,4.175,4.185,4.165,4.165
2020-05-05 16:40:00+00:00,4.105,4.175,4.1,4.175
2020-05-05 16:50:00+00:00,4.105,4.145,4.105,4.105
2020-05-05 17:00:00+00:00,4.055,4.115,4.025,4.105
2020-05-05 17:10:00+00:00,4.04,4.055,4.02,4.055
2020-05-05 17:20:00+00:00,4.07,4.1,4.04,4.04
2020-05-05 17:30:00+00:00,4.055,4.075,4.055,4.07
2020-05-05 17:40:00+00:00,4.045,4.045,4.01,4.045
2020-05-05 17:50:00+00:00,4.045,4.06,4.045,4.045
2020-05-05 18:00:00+00:00,4.065,4.07,4.045,4.045
2020-05-05 18:10:00+00:00,4.095,4.095,4.07,4.07
2020-05-05 18:20:00+00:00,4.045,4.085,4.045,4.085
2020-05-05 18:30:00+00:00,4.025,4.05,4.025,4.05
2020-05-05 18:40:00+00:00,4.055,4.075,4.025,4.025
2020-05-05 18:50:00+00:00,4.025,4.055,4.025,4.055
2020-05-05 19:00:00+00:00,4.025,4.025,4.02,4.025
2020-05-05 19:10:00+00:00,4.005,4.02,4.005,4.02
2020-05-05 19:20:00+00:00,4.025,4.035,4.005,4.005
2020-05-05 19:30:00+00:00,3.845,4.025,3.845,4.025
2020-05-05 19:40:00+00:00,3.91,3.91,3.815,3.835
2020-05-05 19:50:00+00:00,3.855,3.915,3.85,3.89
2020-05-05 20:00:00+00:00,3.855,3.855,3.855,3.855
2020-05-06 13:30:00+00:00,4.02,4.1,4.01,4.085
2020-05-06 13:40:00+00:00,4.035,4.085,4.015,4.02
2020-05-06 13:50:00+00:00,3.95,4.06,3.92,4.04
2020-05-06 14:00:00+00:00,3.9,3.975,3.9,3.96
2020-05-06 14:10:00+00:00,3.95,3.98,3.84,3.89
2020-05-06 14:20:00+00:00,3.955,3.99,3.935,3.935
2020-05-06 14:30:00+00:00,4.04,4.04,3.955,3.955
2020-05-06 14:40:00+00:00,3.985,4.045,3.985,4.04
2020-05-06 14:50:00+00:00,3.97,3.985,3.965,3.985
2020-05-06 15:00:00+00:00,3.93,3.97,3.93,3.97
2020-05-06 15:10:00+00:00,3.94,3.94,3.93,3.93
2020-05-06 15:20:00+00:00,3.925,3.94,3.925,3.94
2020-05-06 15:30:00+00:00,3.99,3.99,3.925,3.925
2020-05-06 15:40:00+00:00,3.98,3.99,3.98,3.99
2020-05-06 15:50:00+00:00,3.98,3.98,3.98,3.98
2020-05-06 16:00:00+00:00,3.94,3.96,3.94,3.955
2020-05-06 16:10:00+00:00,3.98,3.98,3.935,3.94
2020-05-06 16:20:00+00:00,3.965,3.985,3.96,3.98
2020-05-06 16:30:00+00:00,3.94,3.965,3.93,3.965
2020-05-06 16:40:00+00:00,3.965,3.965,3.93,3.94
2020-05-06 16:50:00+00:00,3.955,3.955,3.955,3.955
2020-05-06 17:00:00+00:00,3.945,3.955,3.945,3.955
2020-05-06 17:10:00+00:00,3.945,3.945,3.94,3.945
2020-05-06 17:20:00+00:00,3.96,3.96,3.945,3.945
2020-05-06 17:30:00+00:00,3.96,3.96,3.96,3.96
2020-05-06 17:40:00+00:00,3.975,3.98,3.96,3.97
2020-05-06 17:50:00+00:00,3.98,3.98,3.975,3.975
2020-05-06 18:00:00+00:00,3.98,3.98,3.975,3.98
2020-05-06 18:10:00+00:00,3.975,3.975,3.965,3.97
2020-05-06 18:20:00+00:00,3.965,3.98,3.965,3.98
2020-05-06 18:30:00+00:00,3.965,3.975,3.965,3.965
2020-05-06 18:40:00+00:00,3.975,3.975,3.965,3.965
